SAMPLE_NAME,Type,SETS
GSM1523329_JZN_0469N_U133_2.CEL.gz,CHC469N,Normal
GSM1523330_JZN_0562N_U133_2.CEL.gz,CHC562N,Normal
GSM1523331_JZN_0591N_U133_2.CEL.gz,CHC591N,Normal
GSM1523332_JZN_0591N_U133_2.2.CEL.gz,CHC591N.rep2,Normal
GSM1523333_JZN_0591N_U133_2.3.CEL.gz,CHC591N.rep3,Normal
GSM1523334_JZN_0932N_U133_2.2.CEL.gz,CHC932N,Normal
GSM1523335_JZN_0932N_U133_2.CEL.gz,CHC932N.rep2,Normal
GSM1523336_JZN_0934N_U133_2.CEL.gz,CHC934N,Normal
GSM1523337_JZN_0934N_U133_2.2.CEL.gz,CHC934N.rep2,Normal
GSM1523338_JZN_0934N_U133_2.3.CEL.gz,CHC934N.rep3,Normal
GSM1523339_JZN_0012T_U133_2.CEL.gz,CHC012T,Tumor
GSM1523340_JZN_0228T_U133_2.CEL.gz,CHC228T,Tumor
GSM1523341_JZN_0235T_U133_2.CEL.gz,CHC235T,Tumor
GSM1523342_JZN_0250T_U133_2.CEL.gz,CHC250T,Tumor
GSM1523343_JZN_0327T_U133_2.CEL.gz,CHC327T,Tumor
GSM1523344_JZN_0434T_U133_2.CEL.gz,CHC434T,Tumor
GSM1523345_JZN_0891T_U133_2.CEL.gz,CHC891T,Tumor
GSM1523346_JZN_1010T_U133_2.3.CEL.gz,CHC1010T,Tumor
GSM1523347_JZN_1044T_U133_2.CEL.gz,CHC1044T,Tumor
GSM1523348_JZN_1185T_U133_2.CEL.gz,CHC1185T,Tumor
GSM1523349_JZN_0050T_U133_2.CEL.gz,CHC050T,Tumor
GSM1523350_JZN_0080T_U133_2.CEL.gz,CHC080T,Tumor
GSM1523351_JZN_0203T_U133_2.CEL.gz,CHC203T,Tumor
GSM1523352_JZN_0239T_U133_2.CEL.gz,CHC239T,Tumor
GSM1523353_JZN_0339T_U133_2.CEL.gz,CHC339T,Tumor
GSM1523354_JZN_0398T_U133_2.CEL.gz,CHC398T,Tumor
GSM1523355_JZN_0725T_U133_2.CEL.gz,CHC725T,Tumor
GSM1523356_JZN_0889T_U133_2.3.CEL.gz,CHC889T,Tumor
GSM1523357_JZN_0961T_U133_2.CEL.gz,CHC961T,Tumor
GSM1523358_JZN_1062T_U133_2.CEL.gz,CHC1062T,Tumor
GSM1523359_JZN_1192T_U133_2.CEL.gz,CHC1192T,Tumor
GSM1523360_JZN_1053T_U133_2.CEL.gz,CHC1053T,Tumor
GSM1523361_JZN_0046T_U133_2.CEL.gz,CHC046T,Tumor
GSM1523362_JZN_0211T_U133_2.CEL.gz,CHC211T,Tumor
GSM1523363_JZN_0254T_U133_2.CEL.gz,CHC254T,Tumor
GSM1523364_JZN_0451T_U133_2.3.CEL.gz,CHC451T,Tumor
GSM1523365_JZN_0736T_U133_2.3.CEL.gz,CHC736T,Tumor
GSM1523366_JZN_0793T_U133_2.CEL.gz,CHC793T,Tumor
GSM1523367_JZN_0794T_U133_2.CEL.gz,CHC794T,Tumor
GSM1523368_JZN_0882T_U133_2.CEL.gz,CHC882T,Tumor
GSM1523369_JZN_0909T_U133_2.CEL.gz,CHC909T,Tumor
GSM1523370_JZN_1055T_U133_2.CEL.gz,CHC1055T,Tumor
GSM1523371_JZN_1196T_U133_2.CEL.gz,CHC1196T,Tumor
GSM1523372_JZN_1199T_U133_2.CEL.gz,CHC1199T,Tumor
GSM1523373_JZN_0037T_U133_2.CEL.gz,CHC037T,Tumor
GSM1523374_JZN_0173T_U133_2.CEL.gz,CHC173T,Tumor
GSM1523375_JZN_0196T_U133_2.CEL.gz,CHC196T,Tumor
GSM1523376_JZN_0210T_U133_2.CEL.gz,CHC210T,Tumor
GSM1523377_JZN_0220T_U133_2.CEL.gz,CHC220T,Tumor
GSM1523378_JZN_0306T_U133_2.CEL.gz,CHC306T,Tumor
GSM1523379_JZN_0307T_U133_2.CEL.gz,CHC307T,Tumor
GSM1523380_JZN_0715T_U133_2.CEL.gz,CHC715T,Tumor
GSM1523381_JZN_0734T_U133_2.3.CEL.gz,CHC734T,Tumor
GSM1523382_JZN_0799T_U133_2.3.CEL.gz,CHC799T,Tumor
GSM1523383_JZN_0805T_U133_2.3.CEL.gz,CHC805T,Tumor
GSM1523384_JZN_0892T_U133_2.3.CEL.gz,CHC892T,Tumor
GSM1523385_JZN_0896T_U133_2.3.CEL.gz,CHC896T,Tumor
GSM1523386_JZN_0918T_U133_2.CEL.gz,CHC918T,Tumor
GSM1523387_JZN_0983T_U133_2.CEL.gz,CHC983T,Tumor
GSM1523388_JZN_1052T_U133_2.CEL.gz,CHC1052T,Tumor
GSM1523389_JZN_1060T_U133_2.CEL.gz,CHC1060T,Tumor
GSM1523390_JZN_1061T_U133_2.CEL.gz,CHC1061T,Tumor
GSM1523391_JZN_1162T_U133_2.CEL.gz,CHC1162T,Tumor
GSM1523392_JZN_1190T_U133_2.CEL.gz,CHC1190T,Tumor
GSM1523393_JZN_1201T_U133_2.CEL.gz,CHC1201T,Tumor
GSM1523394_JZN_0031T_U133_2.CEL.gz,CHC031T,Tumor
GSM1523395_JZN_0051T_U133_2.CEL.gz,CHC051T,Tumor
GSM1523396_JZN_0097T_U133_2.CEL.gz,CHC097T,Tumor
GSM1523397_JZN_0258T_U133_2.CEL.gz,CHC258T,Tumor
GSM1523398_JZN_0302T_U133_2.CEL.gz,CHC302T,Tumor
GSM1523399_JZN_0303T_U133_2.CEL.gz,CHC303T,Tumor
GSM1523400_JZN_0317T_U133_2.CEL.gz,CHC317T,Tumor
GSM1523401_JZN_0445T_U133_2.CEL.gz,CHC445T,Tumor
GSM1523402_JZN_0609T_U133_2.CEL.gz,CHC609T,Tumor
GSM1523403_JZN_0613T_U133_2.3.CEL.gz,CHC613T,Tumor
GSM1523404_JZN_0614T_U133_2.CEL.gz,CHC614T,Tumor
GSM1523405_JZN_0703T_U133_2.3.CEL.gz,CHC703T,Tumor
GSM1523406_JZN_0789T_U133_2.3.CEL.gz,CHC789T,Tumor
GSM1523407_JZN_0798T_U133_2.3.CEL.gz,CHC798T,Tumor
GSM1523408_JZN_0898T_U133_2.3.CEL.gz,CHC898T,Tumor
GSM1523409_JZN_0912T_U133_2.3.CEL.gz,CHC912T,Tumor
GSM1523410_JZN_1035T_U133_2.3.CEL.gz,CHC1035T,Tumor
GSM1523411_JZN_1159T_U133_2.CEL.gz,CHC1159T,Tumor
GSM1523412_JZN_1040T_U133_2.2.CEL.gz,CHC1040T,Tumor
GSM1523413_JZN_0028T_U133_2.CEL.gz,CHC028T,Tumor
GSM1523414_JZN_0059T_U133_2.CEL.gz,CHC059T,Tumor
GSM1523415_JZN_0152T_U133_2.CEL.gz,CHC152T,Tumor
GSM1523416_JZN_0469T_U133_2.CEL.gz,CHC469T,Tumor
GSM1523417_JZN_0879T_U133_2.3.CEL.gz,CHC879T,Tumor
GSM1523418_JZN_0884T_U133_2.3.CEL.gz,CHC884T,Tumor
GSM1523419_JZN_1154T_U133_2.CEL.gz,CHC1154T,Tumor
